Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop,force
174,5907,0.048368,3.656514,0,0,0,1,0,0,0,35.8338372
175,5938,0.048647,3.640954,0,0,0,1,0,0,0,35.6813492
176,5971,0.048926,3.656514,0,0,0,1,0,0,0,35.8338372
177,5986,0.049205,3.687633,0,0,0,1,0,0,0,36.1388034
178,6033,0.049484,3.703193,0,0,0,1,0,0,0,36.2912914
179,6064,0.049763,3.718753,0,0,0,1,0,0,0,36.4437794
180,6096,0.050042,3.703193,0,0,0,1,0,0,0,36.2912914
181,6127,0.05032,3.687633,0,0,0,1,0,0,0,36.1388034
182,6159,0.0506,3.672074,0,0,0,1,0,0,0,35.9863252
183,6191,0.050878,3.687633,0,0,0,1,0,0,0,36.1388034
184,6222,0.051158,3.687633,0,0,0,1,0,0,0,36.1388034
185,6253,0.051436,3.703193,0,0,0,1,0,0,0,36.2912914
186,6284,0.051715,3.703193,0,0,0,1,0,0,0,36.2912914
187,6331,0.051994,3.703193,0,0,0,1,0,0,0,36.2912914
188,6362,0.052273,3.718753,0,0,0,1,0,0,0,36.4437794
189,6409,0.052551,3.734312,0,0,0,1,0,0,0,36.5962576
190,6441,0.05283,3.734312,0,0,0,1,0,0,0,36.5962576
191,6472,0.05311,3.718753,0,0,0,1,0,0,0,36.4437794
192,6503,0.053388,3.718753,0,0,0,1,0,0,0,36.4437794
193,6534,0.053668,3.703193,0,0,0,1,0,0,0,36.2912914
194,6566,0.053946,3.703193,0,0,0,1,0,0,0,36.2912914
195,6597,0.054225,3.703193,0,0,0,1,0,0,0,36.2912914
196,6628,0.054504,3.718753,0,0,0,1,0,0,0,36.4437794
197,6659,0.054783,3.703193,0,0,0,1,0,0,0,36.2912914
198,6691,0.055061,3.718753,0,0,0,1,0,0,0,36.4437794
199,6722,0.05534,3.734312,0,0,0,1,0,0,0,36.5962576
200,6753,0.055619,3.703193,0,0,0,1,0,0,0,36.2912914
201,6800,0.055898,3.703193,0,0,0,1,0,0,0,36.2912914
202,6831,0.056176,3.687633,0,0,0,1,0,0,0,36.1388034
203,6862,0.056456,3.687633,0,0,0,1,0,0,0,36.1388034
204,6894,0.056734,3.703193,0,0,0,1,0,0,0,36.2912914
205,6925,0.057014,3.734312,0,0,0,1,0,0,0,36.5962576
206,6956,0.057292,3.749872,0,0,0,1,0,0,0,36.7487456
207,7003,0.057571,3.734312,0,0,0,1,0,0,0,36.5962576
208,7034,0.05785,3.734312,0,0,0,1,0,0,0,36.5962576
209,7065,0.058129,3.718753,0,0,0,1,0,0,0,36.4437794
210,7097,0.058408,3.718753,0,0,0,1,0,0,0,36.4437794
211,7128,0.058686,3.749872,0,0,0,1,0,0,0,36.7487456
212,7159,0.058966,3.749872,0,0,0,1,0,0,0,36.7487456
213,7208,0.059244,3.749872,0,0,0,1,0,0,0,36.7487456
214,7239,0.059524,3.734312,0,0,0,1,0,0,0,36.5962576
215,7270,0.059802,3.734312,0,0,0,1,0,0,0,36.5962576
216,7301,0.060082,3.718753,0,0,0,1,0,0,0,36.4437794
217,7332,0.06036,3.687633,0,0,0,1,0,0,0,36.1388034
218,7363,0.060639,3.687633,0,0,0,1,0,0,0,36.1388034
219,7395,0.060917,3.672074,0,0,0,1,0,0,0,35.9863252
